COUNTRY,SEX,YEAR,VALUE
"AZE","MALE","1993","2316.52"
"AZE","ALL","1994","2001.14"
"AZE","FEMALE","1994","1666.43"
"AZE","MALE","1994","2353.72"
"AZE","ALL","1995","2036.89"
"AZE","FEMALE","1995","1700.18"
"AZE","MALE","1995","2391.48"
"AZE","ALL","1996","2080.24"
"AZE","FEMALE","1996","1740.27"
"AZE","MALE","1996","2437.86"
"AZE","ALL","1997","2132.81"
"AZE","FEMALE","1997","1788.80"
"AZE","MALE","1997","2494.05"
"AZE","ALL","1998","2183.67"
"AZE","FEMALE","1998","1835.82"
"AZE","MALE","1998","2548.04"
"AZE","ALL","1999","2222.39"
"AZE","FEMALE","1999","1872.09"
"AZE","MALE","1999","2588.32"
"AZE","ALL","2000","2238.76"
"AZE","FEMALE","2000","1888.50"
"AZE","MALE","2000","2603.46"
"AZE","ALL","2001","2232.73"
"AZE","FEMALE","2001","1884.27"
"AZE","MALE","2001","2594.37"
"AZE","ALL","2002","2215.62"
"AZE","FEMALE","2002","1869.41"
"AZE","MALE","2002","2573.73"
"AZE","ALL","2003","2190.58"
"AZE","FEMALE","2003","1846.77"
"AZE","MALE","2003","2545.08"
"AZE","ALL","2004","2161.56"
"AZE","FEMALE","2004","1820.26"
"AZE","MALE","2004","2512.38"
"AZE","ALL","2005","2132.20"
"AZE","FEMALE","2005","1793.42"
"AZE","MALE","2005","2479.42"
"AZE","ALL","2006","2089.40"
"AZE","FEMALE","2006","1754.98"
"AZE","MALE","2006","2431.23"
"AZE","ALL","2007","2028.06"
"AZE","FEMALE","2007","1700.56"
"AZE","MALE","2007","2362.01"
"AZE","ALL","2008","1962.07"
"AZE","FEMALE","2008","1642.15"
"AZE","MALE","2008","2287.57"
"AZE","ALL","2009","1905.31"
"AZE","FEMALE","2009","1591.90"
"AZE","MALE","2009","2223.59"
"AZE","ALL","2010","1871.94"
"AZE","FEMALE","2010","1562.12"
"AZE","MALE","2010","2185.96"
"AZE","ALL","2011","1860.93"
"AZE","FEMALE","2011","1551.12"
"AZE","MALE","2011","2174.36"
"AZE","ALL","2012","1860.52"
"AZE","FEMALE","2012","1548.66"
"AZE","MALE","2012","2175.48"
"AZE","ALL","2013","1865.95"
"AZE","FEMALE","2013","1551.26"
"AZE","MALE","2013","2183.25"
"AZE","ALL","2014","1872.95"
"AZE","FEMALE","2014","1556.10"
"AZE","MALE","2014","2191.88"
"AZE","ALL","2015","1877.13"
"AZE","FEMALE","2015","1560.04"
"AZE","MALE","2015","2195.77"
"AZE","ALL","2016","1877.97"
"AZE","FEMALE","2016","1559.75"
"AZE","MALE","2016","2197.23"
"AZE","ALL","2017","1876.87"
"AZE","FEMALE","2017","1556.06"
"AZE","MALE","2017","2198.24"
"AZE","ALL","2018","1873.71"
"AZE","FEMALE","2018","1549.73"
"AZE","MALE","2018","2197.79"
"AZE","ALL","2019","1869.37"
"AZE","FEMALE","2019","1540.24"
"AZE","MALE","2019","2198.17"
"BEL","ALL","1990","1854.91"
"BEL","FEMALE","1990","1442.52"
"BEL","MALE","1990","2284.38"
"BEL","ALL","1991","1851.61"
"BEL","FEMALE","1991","1439.26"
"BEL","MALE","1991","2281.00"
"BEL","ALL","1992","1848.06"
"BEL","FEMALE","1992","1436.22"
"BEL","MALE","1992","2276.96"
"BEL","ALL","1993","1844.25"
"BEL","FEMALE","1993","1433.40"
"BEL","MALE","1993","2272.23"
"BEL","ALL","1994","1840.04"
"BEL","FEMALE","1994","1430.62"
"BEL","MALE","1994","2266.67"
"BEL","ALL","1995","1835.46"
"BEL","FEMALE","1995","1427.84"
"BEL","MALE","1995","2260.39"
"BEL","ALL","1996","1830.88"
"BEL","FEMALE","1996","1425.87"
"BEL","MALE","1996","2253.29"
"BEL","ALL","1997","1826.04"
"BEL","FEMALE","1997","1424.47"
"BEL","MALE","1997","2245.04"
"BEL","ALL","1998","1821.02"
"BEL","FEMALE","1998","1423.05"
"BEL","MALE","1998","2236.41"
"BEL","ALL","1999","1815.82"
"BEL","FEMALE","1999","1420.88"
"BEL","MALE","1999","2228.19"
"BEL","ALL","2000","1810.53"
"BEL","FEMALE","2000","1417.30"
"BEL","MALE","2000","2221.23"
"BEL","ALL","2001","1805.48"
"BEL","FEMALE","2001","1412.61"
"BEL","MALE","2001","2215.89"
"BEL","ALL","2002","1800.48"
"BEL","FEMALE","2002","1407.23"
"BEL","MALE","2002","2211.28"
"BEL","ALL","2003","1795.63"
"BEL","FEMALE","2003","1401.82"
"BEL","MALE","2003","2206.95"
"BEL","ALL","2004","1790.85"
"BEL","FEMALE","2004","1396.81"
"BEL","MALE","2004","2202.28"
"BEL","ALL","2005","1786.21"
"BEL","FEMALE","2005","1392.86"
